"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API Tests","1","0","Проверка обработки ошибок","0"
"0","","0","Каталог товаров","3","0","Добавление товара в корзину","0"
"0","","0","API Tests","1","0","Негативные тесты","0"
"0","","0","Открытие сайта","1","0","Открыть главную страницу сайта","0"
"0","","0","Поиск","1","0","Поиск товара 'смартфон' с закрытием попапа Flocktory","0"
"0","","0","API Tests","1","0","Корзина","0"
"0","","0","API Tests","1","0","Методы HTTP","0"
"0","","0","Каталог товаров","1","0","Переход из каталога в карточку товара","0"
"0","","0","API Tests","1","0","Безопасность и конфигурация","0"
"0","","0","API Tests","1","0","Категории","0"
"0","","0","API Tests","1","0","Проверка доступности","0"
