"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что запрос к несуществующему товару корректно возвращает статус 404.","1544","API: Проверка реакции на несуществующий товар (404)","","2026-08-28","passed","2026-08-28","","test_api_mts","",""
"","50937","Тест: проверка наличия товара в корзине","","2026-08-28","passed","2026-08-28","","test_mts_ui","",""
"Запрос несуществующего пути должен вернуть 404.","2598","API: Негативный тест — неверный URL","","2026-08-28","passed","2026-08-28","","test_api_mts","",""
"","18712","Тест: Открытие страницы сайта","","2026-08-28","passed","2026-08-28","","test_mts_ui","",""
"","37708","Тест: Поиск товара и его отображение на странице","","2026-08-28","passed","2026-08-28","","test_mts_ui","",""
"Запрос корзины возвращает актуальный список товаров и общую стоимость.","1688","API: Получение корзины (GET /cart)","","2026-08-28","passed","2026-08-28","","test_api_mts","",""
"","39750","Тест: проверка невозможности добавления более 2-х товаров для физического лица","","2026-08-28","passed","2026-08-28","","test_mts_ui","",""
"OPTIONS /catalog должен возвращать допустимые методы (200/204).","1767","API: Проверка метода OPTIONS для каталога","","2026-08-28","passed","2026-08-28","","test_api_mts","",""
"","37879","Тест: открытие карточки товара кликом по ней","","2026-08-28","passed","2026-08-28","","test_mts_ui","",""
"Тест проверяет наличие обязательных HTTP-заголовков и их корректность.","2811","API: Проверка заголовков ответа сервера","","2026-08-28","passed","2026-08-28","","test_api_mts","",""
"Запрос /catalog должен возвращать список категорий товаров.","1332","API: Получение списка категорий","","2026-08-28","passed","2026-08-28","","test_api_mts","",""
"Проверяем, что главная страница shop.mts.ru доступна: сервер возвращает HTTP-статус 2xx и отвечает в пределах заданного таймаута.","2727","API: Проверка доступности главной страницы МТС","","2026-08-28","passed","2026-08-28","","test_api_mts","",""
"","32943","Тест: добавление товара в корзину кнопкой «Купить»","","2026-08-28","passed","2026-08-28","","test_mts_ui","",""
